"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"2162_189.09_2.7",2162,189.091295523243,2.7104645,"C12H14O3"
"2163_970.12_2.7",2163,970.115968869012,2.7118485,"C41H28O27"
"2164_1000.13_2.7",2164,1000.12730903033,2.7118485,NA
"2165_313.14_2.7",2165,313.143709293783,2.7128463,"C19H22O5"
"2166_343.15_2.7",2166,343.154445291382,2.7128463,"C20H24O6"
"2167_425.14_2.7",2167,425.141765243884,2.7138946,NA
"2168_279.21_2.7",2168,279.210976173005,2.7156308,"C21H28O"
"2169_439.16_2.7",2169,439.157753636764,2.7170317,NA
"217_130.09_0.6",217,130.086540846318,0.5993065,"C6H8O2"
"2170_1731.41_2.7",2170,1731.40640729338,2.7194045,"C90H74O36"
"2171_341.16_2.7",2171,341.157419197882,2.7216105,"C13H17N5O5"
"2172_207.1_2.7",2172,207.101844785992,2.7232728,"C12H16O4"
"2173_619.13_2.7",2173,619.127253300927,2.7240522,"C26H28O16"
"2174_487.22_2.7",2174,487.215204971385,2.7247229,"C25H25F2N3O4"
"2175_586.25_2.7",2175,586.249853832631,2.7253714,"C27H36O13"
"2176_765.26_2.7",2176,765.25835580968,2.7253714,"C34H46O18"
"2177_597.15_2.7",2177,597.145389317138,2.726304,"C26H28O16"
"2178_558.25_2.7",2178,558.254774425961,2.7291374,"C26H39NO12"
"2179_289.07_2.7",2179,289.071171362489,2.7299058,"C15H14O7"
"218_130.1_0.6",218,130.097727014999,0.5998047,"C5H8N2O"
"2180_508.29_2.7",2180,508.290495998436,2.730741,"C27H38O8"
"2181_321.06_2.7",2181,321.060413929235,2.7312074,"C15H12O8"
"2182_209.08_2.7",2182,209.081408016691,2.7332506,"C11H14O5"
"2183_415.37_2.7",2183,415.368850924338,2.7332506,"C27H48N2O2"
"2184_760.3_2.7",2184,760.302894674288,2.7332506,"C38H47N3O12"
"2185_299.2_2.7",2185,299.198874941661,2.7335947,"C20H28O3"
"2186_381.12_2.7",2186,381.115683784551,2.7346716,"C14H18N6O8"
