formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C22H18O8	[M - H2O + H]+	C22H17O7+	0.983	0.500	134.707	130.955	3.751	43	0.904	0.570	0.669	-45816.208		393.097	282	4.692	712792755013575781	712762631362727700	5053	
1	C33H50N2O3	[M - H2O + H]+	C33H49N2O2+	1.000	0.333	141.318	137.749	3.569	45	0.702	-0.211	1.202	-35637.964		505.379	282	4.693	712792707299172771	712762631383699224	5054	
1	C37H49NO6	[M + H3N + H]+	C37H53N2O6+	0.993	0.333	123.738	123.738	0.000	45	0.844	2.144	2.144	-2.147		621.388	282	4.696	712792715561951735	712762631404670748	5055	
1	C24H38O8	[M + Na]+	C24H38NaO8+	1.000	0.013	66.697	63.407	3.290	12	0.495	1.285	1.285	2.098		477.247	282	4.696	712792794427451078	712762631425642272	5056	
1	C25H34O	[M + H3N + H]+	C25H38NO+	1.000	0.333	108.857	105.389	3.468	49	0.864	0.083	0.764	1.761		368.295	282	4.697	712792736139207505	712762631446613796	5057	
1	C15H18O4	[M - H2O + H]+	C15H17O3+	1.000	0.500	245.040	241.734	3.307	53	0.951	1.120	1.120	-73474.379		245.118	282	4.698	712792715398373858	712762631488556844	5059	
1	C17H24O5	[M - H2O + H]+	C17H23O4+	0.990	0.500	63.949	63.949	0.000	17	0.717	2.170	2.192	-61861.607		291.158	282	4.698	712792794364536497	712762631530499892	5061	
1	C15H20O5	[M - H2O + H]+	C15H19O4+	0.952	0.500	77.214	77.214	0.000	13	0.808	2.195	2.195	-68445.645		263.128	282	4.698	712792848873712147	712762631509528368	5060	
1	C15H16O3	[M - H2O + H]+	C15H15O2+	1.000	0.500	126.007	122.480	3.527	43	0.889	1.125	1.125	-79302.324		227.107	282	4.698	712792999168208850	712762631467585320	5058	
1	C16H26O2	[M + H3N + H]+	C16H30NO2+	1.000	0.333	95.377	92.025	3.352	38	0.901	1.037	1.277	1.843		268.228	282	4.700	712793005707128933	712762631551471416	5062	
1	C15H12O7	[M - H2O + H]+	C15H11O6+	1.000	0.495	9.781	9.781	0.000	1	0.355	2.363	2.363	-62739.905		287.056	282	4.701	712792761116288137	712762631572442940	5063	
1	C22H22O8	[M - H2O + H]+	C22H21O7+	0.885	0.500	125.128	121.348	3.779	48	0.920	-0.222	0.637	-45351.570		397.128	282	4.702	712792974983851500	712762631589220160	5064	
1	C34H58N2O6	[M - H2O + H]+	C34H57N2O5+	1.000	0.333	75.840	69.024	6.816	37	0.747	0.713	0.868	-31408.687		573.426	282	4.703	712792921691024523	712762631614385988	5065	
1	C14H16O7	[M - H2O + H]+	C14H15O6+	0.939	0.500	68.037	62.385	5.651	10	0.924	4.224	4.224	-64532.675		279.087	282	4.703	712792811494074418	712762631635357512	5066	
1	C29H24O12	[M + Na]+	C29H24NaO12+	0.997	0.965	65.784	61.936	3.848	12	0.745	-0.186	0.847	-0.591		587.116	282	4.704	712792944549981484	712762631656329036	5067	
1	C33H47N5O10	[M - H2O + H]+	C33H46N5O9+	0.815	0.333	51.188	44.568	6.620	34	0.768	-0.689	1.796	-27441.608		656.329	282	4.704	712792995057790813	712762631677300560	5068	
1	C24H36O7	[M + H3N + H]+	C24H40NO7+	1.000	0.333	89.760	89.760	0.000	33	0.744	1.740	1.829	1.785		454.281	282	4.706	712793023558087040	712762631698272084	5069	
1	C24H36O7	[M - H2O + H]+	C24H35O6+	1.000	0.500	158.460	154.802	3.658	45	0.903	0.727	0.843	-42958.117		419.243	282	4.707	712792895736671138	712762631719243608	5070	
1	C20H28O4	[M - H2O + H]+	C20H27O3+	0.998	0.500	195.212	191.710	3.501	50	0.782	0.600	0.670	-57138.225		315.196	282	4.707	712792752522159127	712762631740215132	5071	
1	C26H52NO12P	[M - H2O + H]+	C26H51NO11P+	0.539	0.155	49.351	49.351	0.000	14	0.571	1.317	1.317	-30818.376		584.322	282	4.707	712792764266210460	712762631782158180	5073	
1	C37H53NO11	[M - H2O + H]+	C37H52NO10+	1.000	0.333	64.868	55.677	9.190	14	0.791	0.663	0.770	-26866.683		670.359	282	4.707	712792836458572194	712762631803129704	5074	
1	C24H36O7	[M + Na]+	C24H36NaO7+	1.000	0.963	54.599	50.914	3.685	10	0.688	0.908	1.009	1.776		459.236	282	4.707	712792964405816719	712762631761186656	5072	
1	C20H30O6	[M - H2O + H]+	C20H29O5+	1.000	0.500	68.587	68.587	0.000	13	0.947	2.711	2.711	-51573.495		349.202	282	4.708	712792790820349552	712762631824101228	5075	
