"features"	"LV1"	"LV2"
10073	-0.00204980153018582	-0.00174228259288763
10074	-0.00246591873254906	-0.0049646930849504
10075	-0.00435772551464932	-0.00547017505051782
10076	-0.00187193663623611	-0.0013841829534341
10077	-0.000802808970721082	0.000509087174802816
10078	-0.00168125629161066	0.00589045079534343
10079	-0.00595739664989531	-0.00563358310561081
1008	-0.00451943147160564	-0.00271593119609466
10080	-0.00311615420277381	-0.0045189337523159
10081	-0.00311615420277381	-0.0045189337523159
10082	-0.00168933765608773	-0.000440457339901645
10083	-0.00262447217642777	-0.00201904832157958
10084	-0.0015913282086952	-0.00105720591127718
10085	-0.00420521033965491	-0.00201616535031137
10086	-0.00174002074879359	-0.000760964988143194
10087	-0.00221340035501749	-0.000659847365975479
10088	-0.00221340035501749	-0.000659847365975479
10089	-0.00221340035501749	-0.000659847365975479
1009	-0.00397679635297512	0.000351491693955603
10090	-0.00467501490178921	0.0144543037614097
10091	-0.00296186420279412	0.0027737386547697
10092	-0.00187193663623611	-0.0013841829534341
10093	-0.00311615420277381	-0.0045189337523159
10094	-0.00311615420277381	-0.0045189337523159
10095	-0.00262447217642777	-0.00201904832157958
10096	-0.00284774128980417	0.0158451899838471
10097	-0.00398586154644786	0.00537986939899972
10098	-0.00406030963585363	0.0143485113951349
10099	-0.00406030963585363	0.0143485113951349
101	-0.00230140744905649	-0.000637233526518921
1010	-0.0325119340661978	-0.00840323928712153
10100	-0.00246591873254906	-0.0049646930849504
10101	-0.00260396436799121	-0.00323322251669346
10102	-0.00168125629161066	0.00589045079534343
10103	-0.00168125629161066	0.00589045079534343
10104	-0.00168125629161066	0.00589045079534343
10105	-0.00168125629161066	0.00589045079534343
10106	-0.00168125629161066	0.00589045079534343
10107	-0.00168125629161066	0.00589045079534343
10108	-0.00293115200890227	-0.0026258679622417
10109	-0.00371779212797442	0.0141828582907873
1011	-0.00206063775034071	-0.00113397055134285
10110	-0.00182881664990057	-0.000426602989683064
10111	-0.00177938968706487	0.000185529752253004
10112	-0.00155826917331241	-0.00063894501859168
10113	-0.00284774128980417	0.0158451899838471
10114	-0.00284774128980417	0.0158451899838471
10115	-0.00576810415636904	0.0175181582972135
10116	-0.00260764790922838	8.05606219551409e-05
10117	-0.00328857400087106	-0.00273767336472765
10118	-0.00333567983086225	-0.00272654831157485
10119	-0.00332373340729425	-0.00272936971599984
1012	-0.00284774128980417	0.0158451899838471
10120	-0.00323414404880866	-0.00275052816656241
10121	-0.00350282506258534	-0.00268707337635975
10122	-0.00336373686401494	-0.00224964662609691
10123	-0.00473189699398544	0.000409152453764993
10124	-0.00220166857257437	0.00542865892078408
10125	-0.00168125629161066	0.00589045079534343
10126	-0.00293115200890227	-0.0026258679622417
10127	-0.00371779212797442	0.0141828582907873
10128	-0.00371779212797442	0.0141828582907873
10129	-0.0066674863017867	0.0173561245233829
1013	-0.0290793259968297	-0.00698582554622029
10130	-0.00284774128980417	0.0158451899838471
10131	-0.00284774128980417	0.0158451899838471
10132	-0.00284774128980417	0.0158451899838471
10133	-0.00833304751486992	0.00774233633409753
10134	-0.00561595057315797	0.0183986284583937
10135	-0.00152757486886068	-0.000707202448038931
10136	-0.00152757486886068	-0.000707202448038931
10137	-0.00574689640303425	0.0173702612435332
10138	-0.014348166151612	-0.00585077166000495
10139	-0.00326588568296041	0.00155406848713893
1014	-0.00221340035501749	-0.000659847365975479
10140	-0.00546186910966052	0.0169794460287921
10141	-0.00293115200890227	-0.0026258679622417
10142	-0.00371779212797442	0.0141828582907873
10143	-0.00371779212797442	0.0141828582907873
10144	-0.00371779212797442	0.0141828582907873
10145	-0.00262447217642777	-0.00201904832157958
10146	-0.00284774128980417	0.0158451899838471
10147	-0.00586561623292509	0.0136878028401044
10148	-0.00284774128980417	0.0158451899838471
10149	-0.00284774128980417	0.0158451899838471
1015	-0.00252212139049138	-0.00312428341306839
10150	-0.00284774128980417	0.0158451899838471
10151	-0.00284774128980417	0.0158451899838471
10152	-0.00406030963585363	0.0143485113951349
10153	-0.00406030963585363	0.0143485113951349
